,Name,Active,Summary
0,Elias Abuelazam,   Active for 2 years   (2009-2010) in United States," Elias Abuelazam (Elias Abullazam) a suspected Israeli-Arab serial killer known as The Serial Slasher. Abuelazam is a suspect of racially-motivated serial killings and stabbings. Israeli-Arab immigrant that stabbed victims to death while in the U.S. on a Green Card. According to the State Department, Abuelazam changed his last name to Abullazam in March 1995. On June 25, 2012, Abuelazam was sentenced to life imprisonment without the possibility of parole. "
1,Stephen Akinmurele,   Active for 4 years   (1995-1998) in United Kingdom," Stephen Akinmurele Stephen Akinmurele (Stephen Oladimeji K. Akinmurele) a suspected British-Nigerian serial killer known as The Cul-de-sac Killer. He was charged with murdering five elderly people between 1995 and 1998. Considered mentally ill, Akinmurele had a pathological hatred of old people. He was dubbed the cul-de-sac killer for his choice of elderly victims living in quiet suburban streets. Akinmurele committed suicide at Manchester Prison on August 28th 1999. "
2,Süleyman Aktaş,   Active for 9 years   (1986-1994) in Turkey," Süleyman Aktaş a Turkish serial killer known as The Nailing Killer. Aktaş is responsible for the murders of five people in 1986 and 1994. In 1986, he killed police superintendent Nuri Keskin in Antalya, Turkey. In 1994, he killed four of his elderly neighbors. Aktaş killed victims by hammering nails into in the eyes and heads of his victims. Süleyman Aktaş was preventively detained by hospitalization after being diagnosed with paranoid schizophrenia. Aktaş assaulted his roommate, the child killer Ömer Yılmaz, by hitting him in the head with a rock, Yılmaz survived the attack. "
3,Charles Albright,   Active for 2 years   (1990-1991) in United States," Charles Albright Charles Frederick Albright a psychopath, serial killer child-molestor from Dallas, Texas. Originally from Amarillo raised by adoptive parents, early crime and animal torture lead to crime and several arrest. Albright killed 3 prostitutes, removing the eyeballs, taking them with him as trophies. The trophies this seemingly well-adjusted former teacher took from his victims led the press to dub him the Texas Eyeball Killer. "
4,Rodney Alcala,   Active for 9 years   (1971-1979) in United States," Rodney Alcala an American serial killer known as the Dating Game Killer for appearing on the game show The Dating Game in the middle of his killing spree. Alcala was convicted of five murders, though his actual total is estimated to be much higher. Alcala had a locker filled with thousands of photographs of women and children, most in sexually explicit poses, and it is suspected that some of the women photographed may be among Alcala's additional victims. Rodney Alcala remains in California State Prison in Corcoran pending further appeals of his death sentences. "
5,Patricia Allanson,   Active for 18 years   (1974-1991) in United States," Patricia Allanson In 1974 Allanson goaded her husband into killing his parents. Then after he was sentenced to prison she set her sights on his grandparents by poisoning them, all in an effort to gain a half million dollar inheritance. After serving a short prison term she returned to her evil scheming ways by stealing and poisoning an elderly couple that she was caring for, but this time she enlisted the help of her daughter. Released from prison in 1999. In February 2008, Allanson, (Age 70), was arrested and charged with doctor shopping for thousands of pain pills. "
6,Howard Arthur Allen,   Active for 14 years   (1974-1987) in United States," Howard Arthur Allen an American serial killer. Killed three elderly people, as well as assault, burglary, and arson. Howard Arthur Allen was sentenced to death by lethal injection in 1988. "
7,Beverley Allitt,   Active for 1 year   (1991) in United Kingdom," Beverley Allitt (Beverley Gail Allitt) an English serial child killer who was convicted of murdering four children. She attempted to murder three other children, and causing grievous bodily harm to another six. The crimes were committed during a 59 day span from February until April of 1991. Allitt worked as a State Enrolled Nurse in the children's ward at Grantham and Kesteven Hospital, Lincolnshire. "
8,Dale Anderson,   Active for 11 years   (1978-1988) in United States," Dale Anderson (Dale R. Anderson) an American serial killer and rapist known for committing the Belleville Murders. Anderson was active between 1978 and 1988. According to ex-FBI wiz Robert Ressler, Anderson, a sexual psychopath, imprisoned for one of the most brutal slayings in Belleville history, likely killed newspaper intern Audrey Cardenas and four other women. Ressler described Anderson as a model serial killer Ressler said: ""There has been no one that I've seen as of late who fits the pattern of a serial killer as strongly as he does."" In 1990, Dale Anderson was sentenced to life imprisonment without the possibility of parole at the Menard Correctional Center in Illinois. "
9,Marcelo Costa de Andrade,   Active for 1 year   (1991) in Brazil," Marcelo Costa de Andrade a Brazilian serial killer known as The vampire of Niterói. Andrade raped and killed fourteen children in Niterói and Rio de Janeiro during 1991. He was known to rape strangle beat and drink the blood of his victims. He confessed to committing acts of necrophilia with at least one of his victims body. Marcelo was caught after one of the victims escaped and alerted the authorities. He confessed to killing the fourteen boys and was preventively detained at the Heitor Carrilho Psychiatric Hospital in Rio de Janeiro, Brazil. "
